playerId,name,position,gp,goals,assists,points
8473508,James Delory,D,0,0,0,0
8473503,James Reimer,G,539,0,3,0
8473456,Rhett Rakhshani,R,7,0,0,0
8473598,Joonas Lehtivuori,D,0,0,0,0
8473445,Kyle Medvec,D,0,0,0,0
8473416,Michael Caruso,D,2,0,0,0
8473593,David Kveton,R,0,0,0,0
8473555,Niko Snellman,L,0,0,0,0
8473499,Reto Berra,G,76,0,1,0
8473529,T.J. Miller,D,0,0,0,0
8473454,Jase Weslosky,G,0,0,0,0
8473601,Jakub Kovar,G,0,0,0,0
8473451,Kevin Montgomery,D,0,0,0,0
8473560,Korbinian Holzer,D,206,6,21,27
8473492,Matt Beleskey,L,477,76,82,158
8473472,Ben Wright,D,0,0,0,0
8473521,Niclas Andersen,D,0,0,0,0
8473587,Tomas Marcinko,C,0,0,0,0
8473620,Derrick Lapoint,D,0,0,0,0
8473498,Felix Schutz,C,0,0,0,0
8473551,Hugo Carpentier,C,0,0,0,0
8473615,Doug Rogers,C,0,0,0,0
8473614,Richard Bachman,G,49,0,1,0
8473595,Pierre-Luc Lessard,D,0,0,0,0
8473566,Luke Lynes,C,0,0,0,0
8473500,Bobby Hughes,C,0,0,0,0
8473457,Andy Sackrison,C,0,0,0,0
8473434,Chad Johnson,G,192,0,3,0
8473611,Shane Sims,D,1,0,0,0
8473520,Maxime Lacroix,L,0,0,0,0
8473550,Andrew Bodnarchuk,D,42,0,4,4
8473528,Robert Nyholm,R,0,0,0,0
8473441,Brett Bennett,G,0,0,0,0
8473506,Martin Latal,R,0,0,0,0
8473480,Niko Hovinen,G,0,0,0,0
8473489,Bryan Pitton,G,0,0,0,0
8473554,David Meckler,L,0,0,0,0
8473531,Alex Kangas,G,0,0,0,0
8473436,Nick Sucharski,L,0,0,0,0
8473609,Tomas Zaborsky,C,0,0,0,0
8473511,David McIntyre,C,7,1,1,2
8473576,Pavel Valentenko,D,0,0,0,0
8473527,Cody Wild,D,0,0,0,0
8473561,Kim Johansson,L,0,0,0,0
8473603,Maxime Frechette,D,0,0,0,0
8471320,Ashton Rome,R,0,0,0,0
8473552,Martin Nolet,D,0,0,0,0
8473616,Jonathan Rheault,R,5,0,0,0
8473532,Mark Dekanich,G,1,0,0,0
8473415,Alex Biega,D,243,4,38,42
8471508,Olivier Magnan,D,18,0,0,0
8473549,Juuso Puustinen,R,0,0,0,0
8473460,Max Warn,L,0,0,0,0
8473470,Ryan Daniels,G,0,0,0,0
8473421,Jordan Bendfeld,D,0,0,0,0
8473418,Stefan Chaput,C,0,0,0,0
8473448,Matthew McCollem,L,0,0,0,0
8473410,Peter Aston,D,0,0,0,0
8473612,Jan-Mikael Juutilainen,C,0,0,0,0
8473439,Brent Gwidt,C,0,0,0,0
8473481,Levi Nelson,C,0,0,0,0
8473428,Jesse Dudas,D,0,0,0,0
8473584,Andrew MacDonald,D,586,28,133,161
8473537,Viktor Stalberg,L,488,82,86,168
8473487,Julian Walker,R,0,0,0,0
8473488,Sergei Shirokov,L,8,1,0,1
8473599,Constantin Braun,L,0,0,0,0
8473483,Jonas Enlund,C,0,0,0,0
8473455,Tyler Ruegsegger,C,0,0,0,0
8473479,Juraj Simek,L,0,0,0,0
8473513,Dane Crowley,D,0,0,0,0
8473502,Chris Auger,C,0,0,0,0
8473557,Alexander Bumagin,L,0,0,0,0
8473452,Brian Day,R,0,0,0,0
8473494,Petteri Wirtanen,C,3,1,0,1
8473619,Stefan Ridderwall,G,0,0,0,0
8471441,Eric Hunter,C,0,0,0,0
8473597,Michael Dupont,G,0,0,0,0
8473547,Ryan Flynn,R,0,0,0,0
8473618,Mathieu Perreault,C,708,143,209,352
8473538,Tony Romano,C,0,0,0,0
8473606,Jordan Fulton,C,0,0,0,0
8473463,Leo Komarov,R,491,63,107,170
8473570,Kevin Koopman,D,0,0,0,0
8473569,Jan Mursak,L,46,2,2,4
8473475,Nick Dodge,R,0,0,0,0
8473590,Alexander Hellstrom,D,0,0,0,0
8473621,Timo Seppanen,D,0,0,0,0
8473505,Peter LeBlanc,C,1,0,0,0
8473423,Devin Didiomete,L,0,0,0,0
8473594,Chris Frank,D,0,0,0,0
8473432,Derek Dorsett,R,515,51,76,127
8473617,Troy Mattila,L,0,0,0,0
8473442,Nick Oslund,R,0,0,0,0
8473613,Chris Hickey,C,0,0,0,0
8473420,Marc Cheverie,G,0,0,0,0
8471925,Matt Marquardt,L,0,0,0,0
8473486,Jesse Martin,C,0,0,0,0
8473600,Benn Ferriero,R,98,14,9,23
8473516,Evan Fuller,R,0,0,0,0
8473469,Denis Kazionov,L,0,0,0,0
8473572,Cameron Cepek,D,0,0,0,0
8473459,Arturs Kulda,D,15,0,2,2
8473585,Billy Sauer,G,0,0,0,0
8473562,John McCarthy,C,88,3,3,6
8473437,Jay Barriball,L,0,0,0,0
8473578,Lukas Zeliska,C,0,0,0,0
8473559,Andrei Popov,R,0,0,0,0
8473517,Viktor Sjodin,R,0,0,0,0
8473567,Benjamin Breault,C,0,0,0,0
8473509,Kyle Henegan,D,0,0,0,0
8473545,Per Jonsson,L,0,0,0,0
8473440,Will O'Neill,D,1,0,0,0
8473588,Erik Condra,R,372,40,59,99
8473409,Logan Pyett,D,0,0,0,0
8473535,Justin Krueger,D,0,0,0,0
8474141,Patrick Kane,R,1369,508,892,1400
8474037,James van Riemsdyk,L,1154,342,354,696
8474068,Kyle Turris,C,776,168,257,425
8474066,Thomas Hickey,D,456,22,95,117
8473991,Karl Alzner,D,686,20,110,130
8474040,Sam Gagner,C,1043,197,332,529
8474161,Jakub Voracek,R,1058,223,583,806
8474045,Zach Hamill,C,20,0,4,4
8474053,Logan Couture,C,933,323,378,701
8474184,Keaton Ellerby,D,212,4,23,27
8474091,Brandon Sutter,C,770,152,137,289
8474151,Ryan McDonagh,D,1058,86,355,441
8474189,Lars Eller,C,1184,193,246,439
8474031,Kevin Shattenkirk,D,952,103,381,484
8474046,Alex Plante,D,10,0,2,2
8474121,Colton Gillies,C,154,6,12,18
8474193,Alexei Cherepanov,R,0,0,0,0
8474013,Ian Cole,D,990,38,195,233
8474122,Logan Macmillan,C,0,0,0,0
8474185,Angelo Esposito,C,0,0,0,0
