draftYear,overall,round,pickInRound,playerId,name,position,team,teamId,country,name_c,position_c,gp,goals,assists,points,is_goalie,franchise,bin,exp_gp,exp_pts,surplus_gp,surplus_pts
2005,92,4,1,8471757,Marek Bartanus,RW,TBL,14,SVK,Marek Bartanus,R,0,0.0,0.0,0,False,TBL,"(80, 100]",93.22088073636887,43.25892538452533,-93.22088073636887,-43.25892538452533
2005,93,4,2,8471758,Olivier Legault,LW,FLA,13,CAN,Olivier Legault,L,0,0.0,0.0,0,False,FLA,"(80, 100]",92.73519081164858,43.21552030125429,-92.73519081164858,-43.21552030125429
2005,94,4,3,8471759,Jakub Vojta,D,CAR,12,CZE,Jakub Vojta,D,0,0.0,0.0,0,False,CAR,"(80, 100]",92.27180196733998,43.17522102206672,-92.27180196733998,-43.17522102206672
2005,95,4,4,8471760,Cody Bass,C,OTT,9,CAN,Cody Bass,C,75,2.0,3.0,5,False,OTT,"(80, 100]",91.8296902205227,43.13780531448942,-16.829690220522707,-38.13780531448942
2005,96,4,5,8471761,Chris Butler,D,BUF,7,USA,Chris Butler,D,407,14.0,72.0,86,False,BUF,"(80, 100]",91.4078786057751,43.10306684765496,315.59212139422493,42.89693315234504
2005,97,4,6,8471762,Chris VandeVelde,C,EDM,22,USA,Chris VandeVelde,C,278,18.0,30.0,48,False,EDM,"(80, 100]",91.00543501630513,43.070814054479364,186.9945649836949,4.929185945520636
2005,98,4,7,8471763,Ilya Zubov,C,OTT,9,RUS,Ilya Zubov,C,11,0.0,2.0,2,False,OTT,"(80, 100]",90.62147014420842,43.040869075255486,-79.62147014420842,-41.040869075255486
2005,99,4,8,8471764,Patrick Davis,LW,NJD,1,USA,Patrick Davis,R,9,1.0,0.0,1,False,NJD,"(80, 100]",90.25513551530203,43.01306677683635,-81.25513551530203,-42.01306677683635
2005,100,4,9,8471765,Jonathan Sigalet,D,BOS,6,CAN,Jonathan Sigalet,D,1,0.0,0.0,0,False,BOS,"(80, 100]",89.90562161419135,42.987253841999824,-88.90562161419135,-42.987253841999824
2005,101,4,10,8471766,Jared Boll,RW,CBJ,29,USA,Jared Boll,R,579,28.0,38.0,66,False,CBJ,"(100, 125]",89.572156095427,42.96328792397285,489.427843904573,23.03671207602715
2005,102,4,11,8471767,Blair Jones,C,TBL,14,CAN,Blair Jones,C,132,7.0,10.0,17,False,TBL,"(100, 125]",89.25400207679884,42.94103686145272,42.74599792320116,-25.941036861452723
2005,103,4,12,8471668,Mattias Ritola,F,DET,17,SWE,Mattias Ritola,C,43,4.0,5.0,9,False,DET,"(100, 125]",88.95045651099544,42.9203779497967,-45.95045651099544,-33.9203779497967
2005,104,4,13,8471749,Matt Duffy,D,FLA,13,USA,Matt Duffy,D,0,0.0,0.0,0,False,FLA,"(100, 125]",88.66084863203102,42.90119726436088,-88.66084863203102,-42.90119726436088
2005,105,4,14,8471735,Keith Yandle,D,PHX,27,USA,Keith Yandle,D,1109,103.0,516.0,619,False,UTA,"(100, 125]",88.38453847300667,42.88338903225681,1020.6154615269934,576.1166109677432
