unit_id,cluster,umap_x,umap_y
492,2,4.6474776,11.469385
493,2,3.894129,7.6466284
494,2,3.8021896,4.1610827
495,6,4.2206407,12.867939
496,6,2.7264435,7.1937356
497,6,3.343527,6.9166846
498,2,-0.20684953,8.934623
499,20,2.9473047,15.18016
500,20,1.5994644,7.2501965
501,20,2.961625,15.208103
502,20,2.3995852,8.650026
503,2,2.9399471,15.187883
504,2,2.961739,15.198414
505,5,3.7050524,8.665549
506,6,4.30423,12.806403
507,11,6.574178,11.557533
508,11,6.5391808,11.557573
509,2,3.6629896,8.124785
510,2,3.9281914,8.630822
511,2,3.4621005,8.0695505
512,2,3.5007918,8.036378
513,8,3.9054427,10.898411
514,8,3.9449565,10.910949
515,13,6.0553174,10.722692
516,2,6.0531135,10.679476
517,13,1.8455286,11.651564
518,2,1.0079978,13.090752
519,13,6.049818,10.691577
520,2,6.073082,10.667671
521,13,2.6395676,10.697392
522,4,6.0699215,8.827797
523,3,5.744621,12.167421
524,3,5.6093283,12.146072
525,2,-0.18168099,10.265014
526,2,0.58337575,12.19059
527,2,3.3898335,10.639317
528,2,4.038844,11.983828
529,3,5.636846,11.985677
530,0,-0.20815095,14.032626
531,12,5.9874387,10.9426365
532,0,-0.30892116,14.085685
533,5,0.8552763,12.414149
534,2,2.32412,9.290272
535,2,2.0011134,9.864479
536,17,-0.31444687,14.103372
537,2,1.1971517,9.892172
538,2,3.9725385,10.587818
539,17,1.8807801,9.6554985
540,2,1.7149404,9.275899
541,20,2.6838882,9.360556
542,20,0.8881701,8.571801
543,7,4.4334884,10.863088
544,10,2.9264755,15.210064
545,7,4.817032,8.636132
546,6,5.2677245,12.098014
547,4,6.1464224,10.567754
548,17,0.961609,11.876745
549,17,0.108682126,11.665043
550,7,5.1895514,14.023594
551,7,4.9689364,13.88373
552,13,1.7526071,11.602196
553,0,3.6470335,8.804071
554,13,1.7460312,11.618392
555,0,3.6540384,8.975454
556,17,3.9265196,12.368906
557,7,5.8644586,11.3665695
558,7,5.79557,11.431165
559,10,2.438515,7.306687
560,2,2.3631423,7.2966943
561,17,-1.7012998,13.413247
562,17,-1.742367,13.381313
563,4,6.099656,8.772143
564,4,6.029862,8.74862
565,23,4.958055,7.8581204
566,2,4.9451776,7.8049316
567,18,3.464356,10.551828
568,17,3.4916456,10.582054
569,3,1.2492896,11.201785
570,10,0.35921395,7.5637093
571,2,2.891435,15.251628
572,6,3.28894,6.9168735
573,11,-1.3262314,7.8302827
574,21,-1.9799619,7.4196796
575,19,-0.31895295,14.084871
576,0,-0.32114244,14.098673
577,2,6.053287,10.675126
578,0,-3.196565,11.892947
579,0,3.7370863,6.950367
580,17,5.9132986,10.680871
581,10,5.795667,12.210761
582,17,5.816915,10.646704
583,2,5.987283,10.748316
584,10,-0.09591121,4.14065
585,13,2.1885872,12.6398535
586,13,1.7292471,11.460703
587,0,-0.2773672,13.99537
588,10,5.465335,9.90547
589,2,7.6761303,11.310114
590,3,5.7072444,12.150792
591,22,4.0216155,10.598834
592,2,4.03618,10.638937
593,17,4.032323,10.615337
594,4,3.9970474,10.635737
595,4,-0.046342444,4.121987
596,12,-2.3495793,10.657508
597,3,5.790384,11.965406
598,19,1.0995284,7.7682953
599,2,1.0131948,8.293583
600,7,-0.31122032,14.089502
601,13,2.9969919,13.845373
602,11,1.2765023,8.927159
603,8,2.8634253,15.121557
604,18,-0.37377673,10.764981
605,17,-0.38580537,10.73959
606,17,2.9728203,13.959669
607,17,0.8490586,11.947467
608,20,3.8612146,11.047729
609,12,2.911107,13.918834
610,22,0.20996764,10.965777
611,13,1.3718846,8.487984
612,2,3.9486263,7.6359777
613,2,3.916425,7.654951
614,0,3.9588,7.6859775
615,12,1.0357876,9.310547
616,0,2.3478167,13.226462
617,0,-1.7724342,9.8840065
618,0,-1.7940456,9.88033
619,13,2.0348728,10.869691
620,14,3.4923735,11.094086
621,16,2.2054327,13.44725
622,16,2.2058947,13.43297
623,16,2.2189538,13.457527
624,16,2.128164,13.454377
625,16,2.1792483,13.464976
626,3,2.2430933,13.464441
627,4,6.1477017,10.548168
628,10,5.558619,10.010697
629,10,5.4880657,9.996922
630,2,6.024473,10.682589
631,4,6.0365186,8.886637
632,10,5.554573,10.109568
633,22,-2.0187812,8.611876
634,10,5.4495764,10.034213
635,22,-2.0906851,8.565846
636,0,5.827116,10.362344
637,6,5.890058,10.754773
638,17,5.8385553,10.694727
639,2,3.9860024,10.601508
640,13,5.9621778,10.844336
641,13,5.8538194,11.227025
642,12,6.705186,12.460283
